siteID,NumPeaks,MaxPSD,pheno_var,MV_ModTerra_Mean,MV_ModTerra_Max,MV_ModAqua_Mean,MV_ModAqua_Max,MV_Landsat_Mean,MV_Landsat_Max
5354,5,0.094359691,0.545292778,19.6230805,16.68981903,27.20093676,19.30086247,11.69151282,11.9506555
5355,8,0.128848118,0.695882272,10.51201239,6.572959,9.286349417,5.998090423,6.198533019,4.606208679
5356,5,0.141112759,1.855230392,7.283473725,16.10710646,6.793161865,11.70573371,3.102086857,4.761323396
5357,4,0.177596333,2.004649148,2.376726991,4.90303758,2.705777566,5.262385175,3.059313576,3.645479189
5358,7,0.188722666,0.65537122,13.9649544,12.22745961,13.93885744,19.43571184,11.43839466,16.34845952
5359,5,0.078193679,0.541829314,8.609626046,5.590491957,13.56312757,5.300069089,17.38515337,21.4701394
5360,7,0.205882763,0.748790425,11.86634907,10.8394545,8.137704524,5.51676848,9.119967675,13.72104826
5361,8,0.226127731,0.599752768,53.28069475,21.68345722,37.31707241,11.84348541,24.80550124,12.95922852
5362,5,0.185274365,0.790055126,20.33622751,21.66292427,12.41089179,6.124448152,16.29466103,16.33226731
5363,6,0.094671592,0.750780838,9.092134848,8.316137757,8.269809228,7.320957936,1.326261351,4.559936715
5364,6,0.08245472,0.526790733,15.06985431,13.99283295,13.4662668,12.02750378,8.215096674,9.585190438
5365,3,0.059799126,0.832205093,8.324281594,8.248912347,8.449081883,7.290480186,7.2665069,5.729609934
5366,6,0.152879581,0.610858143,11.33398601,7.111340333,10.58876217,6.900048089,8.802151413,5.483404603
5367,5,0.044621727,0.418323057,32.62007961,11.03965184,35.93139287,26.51112348,14.71623988,8.584477273
5368,4,0.490162814,0.831222008,19.37684158,11.68325363,26.60921796,14.35939615,20.98896823,36.53809315
5369,6,0.041554829,1.208609603,8.133144938,4.77549269,8.155626104,5.50492328,3.828798816,3.155551964
5370,3,0.101638828,1.819067309,14.61183355,18.17420849,20.85202122,17.18522402,9.485492592,13.19783392
5371,5,0.04714925,1.32568193,12.16618734,11.1258952,11.8801062,10.29786675,9.836896264,11.51127516
5372,2,0.159203882,0.605237034,31.14621818,52.57348473,18.44807975,61.117333,5.613832174,8.871756131
5373,6,0.09486711,0.650583965,17.71721524,18.00326802,16.35709916,11.94903681,8.097813599,17.97919706
5374,5,0.811738705,5.946350249,8.065378356,21.34957996,7.673167541,14.61993573,17.56122401,22.23488583
5375,5,0.684840655,1.317208461,11.84803617,7.882427947,16.25386482,14.69574661,17.11573997,15.71918944
5376,3,0.534184827,1.802507639,26.30293262,62.42946369,15.35869623,24.21192108,14.56356178,39.3399231
5377,6,0.277472136,0.690159308,40.52549658,15.92904346,35.99721847,13.05328868,7.176922633,10.39609619
5378,5,0.282950753,1.278582569,6.543563373,4.905412782,6.118323313,3.345259696,5.450953451,3.404614432
5379,4,0.782723071,0.826054601,14.79702582,14.95292576,14.14312535,26.79316489,14.34847031,21.21905779
5380,9,0.689907968,0.753846492,33.55012414,33.25493403,30.73893395,39.22133744,19.90092459,40.4048301
5381,6,0.457216644,1.375380211,15.73723334,16.26899993,8.715964585,22.28338259,29.89075718,29.28514392
5382,5,0.510943088,0.719539166,30.6789848,34.41058957,24.81173445,34.23920387,20.89134374,27.79307176
5383,6,0.664431617,1.561790084,9.032615264,6.823505101,12.44405972,7.099075334,4.554025556,5.516881173
5384,4,0.710235292,0.758489482,25.43921664,29.33358162,35.36045747,42.31342307,16.26096614,14.76867501
5385,5,0.308843311,0.747215422,17.95712973,8.333003568,15.5256377,10.79685207,7.549338884,5.680664708
5386,6,0.547934856,0.693115417,43.67046233,25.22300751,23.90750221,26.39778197,14.86313997,21.12136836
5387,6,0.275149251,0.511111476,25.99371267,13.67120261,27.73040494,16.6132326,21.76549134,6.1349101
5389,5,0.411686234,0.836362718,24.57712797,36.3707705,31.54133618,14.59870643,6.557222166,5.813856788
5390,5,0.186121577,0.653520493,27.01656779,14.64116138,29.70988243,14.2674344,13.67783083,15.02281996
5408,7,0.086364349,0.700767524,19.26980834,35.88348498,15.40889738,22.0218556,11.41548314,20.97576081
5410,4,0.17823253,0.601193794,22.76083017,37.86570562,26.30504712,40.11932605,17.69432269,31.87946032
5411,6,0.378634458,0.739495009,17.27992485,9.117801589,17.267987,5.582091449,10.72118441,9.871020713
5412,5,0.181122062,0.605479329,22.95304239,29.03461124,17.98860804,18.1280146,23.99188499,30.93244076
5413,4,0.126987551,0.581118106,14.00745026,18.43803639,14.60915995,12.77409353,7.28270827,7.37643927
5414,5,0.383644192,0.666579166,32.28438651,10.32269035,21.52070071,11.65646154,27.54049088,31.19023799
5415,5,0.205021962,0.816411782,14.19659395,7.833392946,12.61789909,5.730704964,19.06407166,9.017862337
5416,7,0.170773272,0.61390951,25.24136273,13.79373176,18.33610353,11.43885485,14.97661796,12.36098355
5417,7,0.682638739,1.909814073,7.308534604,6.583156492,9.604163865,7.451186457,23.74573475,11.52992705
5418,5,0.449933639,2.595734753,2.907489562,4.624041495,1.771093345,5.260124289,4.72453908,6.575280323
5419,3,0.727207326,1.005808372,25.80096348,16.97678982,24.04715277,13.67987638,22.6467767,17.22076748
5420,7,0.365714107,0.966577173,19.05654076,11.66350502,22.81185277,6.741051814,22.28585281,20.49843631
